gen,batch,idx,kind,kept,score,d_db,beam,eta,s11_worst,copper,peak_x,peak_y,npy,png
6,1,15,kid,0,7.217983,12.8219,0.6887,0.9980,-22.7498,79,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid015.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid015.png
6,1,16,kid,0,7.339290,12.8144,0.6889,0.9415,-9.7169,85,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid016.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid016.png
6,1,17,kid,0,7.365386,12.8867,0.6213,0.9982,-22.3603,86,-2.00,-5.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid017.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g006_b001_kid017.png
7,1,1,kid,0,6.687126,12.9227,0.6228,0.8539,-5.3045,118,-2.00,-5.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid001.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid001.png
7,1,2,kid,0,7.309320,12.9351,0.6224,0.9852,-13.8531,99,-2.00,-5.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid002.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid002.png
7,1,3,kid,0,7.356651,12.9616,0.6218,0.9958,-19.4894,103,-2.00,-5.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid003.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid003.png
7,1,4,kid,0,7.020197,12.9603,0.6218,0.9216,-8.5033,215,-2.00,-5.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid004.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid004.png
7,1,5,kid,0,6.236548,12.9483,0.6220,0.7693,-4.5418,123,-2.00,-5.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid005.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid005.png
7,1,6,kid,0,7.188474,12.9284,0.6220,0.9577,-8.4167,181,-2.00,-5.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid006.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid006.png
7,1,7,kid,0,7.361205,12.9749,0.6222,0.9963,-19.0616,106,-2.00,-5.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid007.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g007_b001_kid007.png
